,user_supplied_name,submitted_name,data_source_title,score,matched_name2
226,Haminoea spp,Haminoea spp,GBIF Backbone Taxonomy,0.75,Haminoea
227,Haminoea vesicula,Haminoea vesicula,GBIF Backbone Taxonomy,0.988,Haminoea vesicula
228,Haminoea virescens,Haminoea virescens,GBIF Backbone Taxonomy,0.988,Haminoea virescens
229,Haplogloia andersonii,Haplogloia andersonii,GBIF Backbone Taxonomy,0.988,Haplogloia andersonii
230,Harmothoe imbricata,Harmothoe imbricata,GBIF Backbone Taxonomy,0.988,Harmothoe imbricata
231,Hedophyllum sessile,Hedophyllum sessile,GBIF Backbone Taxonomy,0.988,Hedophyllum sessile
232,Hemigrapsus nudus,Hemigrapsus nudus,GBIF Backbone Taxonomy,0.988,Hemigrapsus nudus
233,Hemigrapsus oregonensis,Hemigrapsus oregonensis,GBIF Backbone Taxonomy,0.988,Hemigrapsus oregonensis
234,Henricia spp,Henricia spp,GBIF Backbone Taxonomy,0.75,Henricia
235,Heptacarpus pictus,Heptacarpus pictus,GBIF Backbone Taxonomy,0.988,Heptacarpus pictus
236,Hermissenda crassicornis,Hermissenda crassicornis,GBIF Backbone Taxonomy,0.988,Hermissenda crassicornis
237,Herposiphonia littoralis,Herposiphonia littoralis,GBIF Backbone Taxonomy,0.988,Herposiphonia littoralis
238,Herposiphonia plumula,Herposiphonia plumula,GBIF Backbone Taxonomy,0.988,Herposiphonia plumula
239,Herposiphonia spp,Herposiphonia spp,GBIF Backbone Taxonomy,0.75,Herposiphonia
240,Herposiphonia verticillata,Herposiphonia verticillata,GBIF Backbone Taxonomy,0.988,Herposiphonia verticillata
241,Hesperophycus harveyanus,Hesperophycus harveyanus,GBIF Backbone Taxonomy,0.988,Hesperophycus harveyanus
242,Heteropora alaskensis,Heteropora alaskensis,GBIF Backbone Taxonomy,0.988,Heteropora alaskensis
243,Heterosiphonia erecta,Heterosiphonia erecta,GBIF Backbone Taxonomy,0.988,Heterosiphonia erecta
244,Heterosiphonia japonica,Heterosiphonia japonica,GBIF Backbone Taxonomy,0.988,Heterosiphonia japonica
245,Hinnites giganteus,Hinnites giganteus,GBIF Backbone Taxonomy,0.988,Hinnites giganteus
246,Hippodiplosia insculpta,Hippodiplosia insculpta,GBIF Backbone Taxonomy,0.988,Hippodiplosia insculpta
247,Homalopoma baculum/luridum,Homalopoma baculum/luridum,GBIF Backbone Taxonomy,0.75,Homalopoma
248,Hymenamphiastra cyanocrypta,Hymenamphiastra cyanocrypta,GBIF Backbone Taxonomy,0.988,Hymenamphiastra cyanocrypta
249,Hymeniacidon ungodon,Hymeniacidon ungodon,GBIF Backbone Taxonomy,0.988,Hymeniacidon ungodon
250,Hypnea johnstonii,Hypnea johnstonii,GBIF Backbone Taxonomy,0.988,Hypnea johnstonii
251,Hypnea spp,Hypnea spp,GBIF Backbone Taxonomy,0.75,Hypnea
252,Hypnea valentiae,Hypnea valentiae,GBIF Backbone Taxonomy,0.988,Hypnea valentiae
253,Idotea spp,Idotea spp,GBIF Backbone Taxonomy,0.75,Idotea
254,Jania crassa,Jania crassa,GBIF Backbone Taxonomy,0.988,Jania crassa
255,Jania tenella,Jania tenella,GBIF Backbone Taxonomy,0.988,Jania tenella
256,Janolus barbarensis,Janolus barbarensis,GBIF Backbone Taxonomy,0.988,Janolus barbarensis
257,Jenneria pustulata,Jenneria pustulata,GBIF Backbone Taxonomy,0.988,Jenneria pustulata
258,Katharina tunicata,Katharina tunicata,GBIF Backbone Taxonomy,0.988,Katharina tunicata
259,Kelletia kelletii,Kelletia kelletii,GBIF Backbone Taxonomy,0.988,Kelletia kelletii
260,Lacuna spp,Lacuna spp,GBIF Backbone Taxonomy,0.75,Lacuna
261,Laila cockerelli,Laila cockerelli,GBIF Backbone Taxonomy,0.988,Laila cockerelli
262,Laminaria bongardiana,Laminaria bongardiana,GBIF Backbone Taxonomy,0.75,Laminaria
263,Laminaria dentigera,Laminaria dentigera,GBIF Backbone Taxonomy,0.988,Laminaria dentigera
264,Laminaria ephemera,Laminaria ephemera,GBIF Backbone Taxonomy,0.988,Laminaria ephemera
265,Laminaria farlowii,Laminaria farlowii,GBIF Backbone Taxonomy,0.988,Laminaria farlowii
266,Laminaria saccharina,Laminaria saccharina,GBIF Backbone Taxonomy,0.988,Laminaria saccharina
267,Laminaria setchellii,Laminaria setchellii,GBIF Backbone Taxonomy,0.988,Laminaria setchellii
268,Laminaria sinclairii,Laminaria sinclairii,GBIF Backbone Taxonomy,0.988,Laminaria sinclairii
269,Laurencia decidua,Laurencia decidua,GBIF Backbone Taxonomy,0.988,Laurencia decidua
