"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Phaenoplana longipenis","Stylochoplana longipenis","Hyman 1953",,
"Phaenoplana longipenis","Leptoplanidae sp BL1","Phillips 2005 º",,
"Phaenoplana longipenis","Platyhelminthes sp A","MBC 1984 º",,
"Phaenoplana longipenis","Platyhelminthes sp G","Paquette 1979 º",,
"Phaenoplana longipenis","Polycladida sp T","Phillips 2004 º",,
"Stylochoplana chloranota","Phylloplana chloranota","Boone 1929",,
"Stylochoplana chloranota","Notoplana inquieta","of Freeman 1933 not (Heath & McGregor 1912)",,
"Stylochoplana sp A","Stylochoplana sp HYP1","Phillips 1988 º",,
"Stylochoplana sp A","Polycladida sp E","Phillips 1988 º",,
"Stylochoplana sp B","Polycladida sp A","Phillips 1987 º",,
"Stylochoplana sp B","Stylochoplana sp HYP3","Phillips 2006 º",,
"Triplana viridis","Stylochoplana viridis","Freeman 1933",,
"Triplana viridis","Phylloplana viridis","(Freeman 1933)",,
"Latocestidae sp A","Latocestidae sp 1","Phillips 2005 º",,
"Latocestidae sp A","Polycladida sp S","Phillips 2004 º",,
"Latoplana levis","Mexistylochus levis","Hyman 1953",,
"Latoplana levis","Latocestidae sp 2","Phillips 2006 º",,
"Acerotisa californica","Polycladida sp O","Phillips 1987 º",,
"Acerotisa langi","Aceros langi","Heath & MacGregor 1912",,
"Acerotisa langi","Polycladida sp 43","Ljubenkov 1989 º",,
"Acerotisa langi","Polycladida sp M","Phillips 1987 º",,
"Acerotisa langi","Polycladida sp R","Phillips 1991 º",,
"Eurylepta aurantiaca","Eurylepta sp LA1","Cadien 2001 º",,
"Praestheceraeus bellostriatus","Prostheceraeus bellostriatus","of SCAMIT Ed 7",,
"Prosthiostomum latocelis","Platyhelminthes sp N","MBC 1983 º",,
"Rhabdocoela sp A","Rhabdocoela sp A","Lilly & Pasko 1997 º",,
"Rhabditophora sp A","Turbellaria sp A","SCAMIT 2013 º",,
"Rhabditophora sp A","Platyhelminthes sp SD1","Pasko 2000 º",,
"Rhabditophora sp A","Polycladida sp 27","Ljubenkov 1986 º",,
"Rhabditophora sp A","Polycladida sp R","of MEC 1987",,
"Rhabditophora sp A","Polycladida sp SD2","Pasko 2000 º",,
"Rhabditophora sp A","Spinnicirris sp","of SCAMIT Ed 7",,
"Rhabditophora sp B","Turbellaria sp B","SCAMIT 2013 º",,
"Rhabditophora sp B","Polycladida sp HYP2","Phillips 2001 º",,
"Rhabditophora sp C","Turbellaria sp C","SCAMIT 2013 º",,
"Rhabditophora sp C","Leptoplanidae sp SD2","Lilly & Pasko 1997 º",,
"Cephalothrix sp","Procephalothrix sp","of SCAMIT Ed 8",,
"Carinoma mutabilis","Carinoma griffini","Coe 1901",,
"Carinoma mutabilis","Palaeonemertea sp B","Paquette 1989 º",,
"Tubulanus albocinctus","Carinella albocincta","Coe 1904",,
"Tubulanus capistratus","Carinella capistrata","Coe 1901",,
"Tubulanus cingulatus","Carinella cingulata","Coe 1904",,
"Tubulanus frenatus","Carinella frenata","Coe 1904",,
"Tubulanus polymorphus","Carinella pellucida","Coe 1895",,
"Tubulanus polymorphus","Carinella rubra","Griffin 1898",,
"Tubulanus polymorphus","Carinella speciosa","Coe 1901",,
"Tubulanus sp A","Tubulanus nothus","of authors NEP not (Bnrger 1892)",,
"Tubulanidae sp A","Anopla sp A","Phillips 1987 º",,
"Tubulanidae sp A","Hoplonemertea sp A","of Ljubenkov 1988",,
"Tubulanidae sp A","Tubulanidae sp SD1","Pasko 1998 º",,
"Tubulanidae sp C","Palaeonemertea sp C","SCAMIT 1995 º",,
"Tubulanidae sp D","Palaeonemertea sp A","Phillips 1988 º",,
"Lineus bilineatus","Cerebratulus bilineatus","Renier 1804",,
"Lineus bilineatus","Lineus albolineatus","Coe 1904",,
"Maculaura alaskensis Cmplx","Micrura alaskensis","of Coe 1901 in part",,
"Micrura coei","Micrura pardalis","of SCAMIT Ed 10",,
"Micrura wilsoni","Lineus wilsoni","Coe 1904",,
"Ramphogordius sanguineus","Planaria sanguineus","Rathke 1799",,
"Ramphogordius sanguineus","Lineus ruber","of SCAMIT Ed 10",,
"Zygeupolia rubens","Valencinia rubens","Coe 1895",,
"Zygeupolia rubens","Anopla sp D","SCAMIT 1995 º",,
"Zygeupolia rubens","Monostylifera sp A","Ljubenkov 1989 º",,
"Zygeupolia rubens","Zygeupolia littoralis","Thompson 1900",,
"Baseodiscus delineatus","Polia delineata","Delle Chiaje 1825",,
"Baseodiscus princeps","Taeniosoma princeps","Coe 1901",,
"Baseodiscus punnetti","Taeniosoma punnetti","Coe 1904",,
"Heteronemertea sp SD2","Anopla sp OC1","Pasko 2011",,
"Nipponnemertes pacificus","Amphiporus pacificus","Coe 1905",,
"Nipponnemertes punctatula","Amphiporus punctatulus","Coe 1905",,
"Nipponnemertes punctatula","Amphiporus nebulosus","Coe 1901",,
"Nipponnemertes punctatula","Nipponnemertes punctatulus","of SCAMIT Ed 8",,
"Nipponnemertes rubella","Amphiporus rubellus","Coe 1905",,
"Cryptonemertes actinophila","Nemertopsis actinophila","Bnrger 1904",,
"Cryptonemertes actinophila","Nemertopsella actinophila","of Friedrich 1958",,
"Emplectonema gracile","Nemertes gracilis","Johnston 1837",,
"Paranemertes californica","Monostylifera sp SD1","CSD 1994 º",,
"Paranemertes californica","Paranemertes sp A","SCAMIT 1984 º",,
"Paranemertes peregrina Cmplx","Paranemertes peregrina","of Coe 1901 in part",,
