"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Barentsia discreta","Ascopodaria macropus","Ehlers 1890",,
"Barentsia discreta","Ascopodaria misakiensis","Oka 1890",,
"Barentsia discreta","Barentsia misakiensis","of Oka 1895",,
"Barentsia discreta","Barentsia robusta","O'Donoghue 1924",,
"Barentsia discreta","Barentsia subrigida","Osburn 1953",,
"Barentsia discreta","Barentsia timida","Verrill 1900",,
"Barentsia discreta","Pedicellina australis","Jullien 1888",,
"Barentsia parva","Gonypodaria parva","O'Donoghue & O'Donoghue 1923",,
"Barentsia parva","Ascopodaria gracilis","of Robertson 1900 not (M. Sars 1835)",,
"Barentsia parva","Barentsia gracilis","of Osburn 1953 not (M. Sars 1835)",,
"Barentsia ramosa","Gynopadaria ramosa","Robertson 1900",,
"Heathia porosa","Ichthyomenia porosa","Heath 1911",,
"Chaetoderma hancocki","Crystallophrisson hancocki","Schwabl 1963",,
"Chaetoderma hancocki","Crystallophrisson inflatum","Schwabl 1963",,
"Chaetoderma hancocki","Crystallophrisson rectum","Schwabl 1963 in part",,
"Chaetoderma hancocki","Crystallophrisson riedli","Schwabl 1963 in part",,
"Chaetoderma marinelli","Crystallophrisson marinelli","Schwabl 1963",,
"Chaetoderma nanulum","Falcidens macracanthos","of SCAMIT Ed 4 in part not Scheltema 1998",,
"Chaetoderma nanulum","Falcidens sp A","SCAMIT 1985 º in part",,
"Chaetoderma pacificum","Crystallophrisson nitidulum var pacificum","Schwabl 1963",,
"Falcidens hartmanae","Crystallophrisson hartmanae","Schwabl 1961",,
"Falcidens hartmanae","Chaetoderma hartmanae","of authors NEP",,
"Falcidens longus","Falcidens sp B","SCAMIT 1985 º",,
"Falcidens macracanthos","Falcidens sp A","SCAMIT 1985 º in part",,
"Furcillidens incrassatus","Crystallophrisson incrassatum","Schwabl 1963",,
"Furcillidens incrassatus","? Chaetoderma sp B","of Shrake 1985 º",,
"Spathoderma californicum","Prochaetoderma californicum","Schwabl 1963",,
"Spathoderma sp A","Chevroderma sp LA1","Cadien 2003 º",,
"Hanleyella oldroydi","Lepidopleurus (Leptochiton) oldroydi","Dall 1919 ex Bartsch MS",,
"Hanleyella oldroydi","Leptochiton oldroydi","of Burghardt & Burghardt 1969",,
"Leptochiton nexus","Chiton (Leptochiton) nexus","of Orcutt 1885",,
"Leptochiton nexus","Lepidopleurus (Leptochiton) ambustus","Dall 1919",,
"Leptochiton nexus","Lepidopleurus (Pilsbryella) ambustus","of LeLoup 1940",,
"Leptochiton nexus","Lepidopleurus heathi","of Burghardt & Burghardt 1969",,
"Leptochiton nexus","Lepidopleurus (Xiphiozona) heathi","Berry 1919",,
"Leptochiton nexus","Lepidopleurus (Leptochiton) lycurgus","Dall 1919",,
"Leptochiton nexus","Lepidopleurus nexus","of Pilsbry 1892",,
"Leptochiton nexus","Leptochiton ambustus","of Smith & Gordon 1948",,
"Leptochiton nexus","Leptochiton lycurgus","of Burghardt & Burghardt 1969",,
"Leptochiton rugatus","Lepidopleurus rugatus","Carpenter in Pilsbry 1892",,
"Leptochiton rugatus","Lepidopleurus alascensis","Thiele 1909",,
"Leptochiton rugatus","Lepidopleurus assimilis","Thiele 1909",,
"Leptochiton rugatus","Leptopleurus alascensis","of Smith 1947",,
"Leptochiton rugatus","Leptopleurus cancellatus","of Dall 1879 not (G. B. Sowerby II 1839)",,
"Leptochiton rugatus","Leptopleurus internexus","Carpenter in Pilsbry 1892",,
"Oldroydia percrassa","Lepidopleurus (Oldroydia) percrassus","Dall 1894",,
"Callistochiton decoratus","Callistochiton cthonius","Dall 1919",,
"Callistochiton decoratus","Callistochiton cyanosus","Dall 1919",,
"Callistochiton decoratus","Callistochiton decoratus ferminicus","Berry 1922",,
"Callistochiton decoratus","Callistochiton decoratus punctocostatus","Pilsbry 1896",,
"Callistochiton decoratus","Callistochiton diegoensis","Thiele 1910",,
"Callistochiton palmulatus","Callistochiton acinatus","Dall 1919",,
"Callistochiton palmulatus","Callistochiton celetus","Dall 1919",,
"Callistochiton palmulatus","Callistochiton connellyi","Willett 1937",,
"Callistochiton palmulatus","Callistochiton palmulatus mirabilis","Pilsbry 1893",,
"Lepidozona golischi","Ischnochiton golischi","Berry 1919",,
"Lepidozona mertensii","Chiton mertensii","Middendorff 1847",,
"Lepidozona mertensii","Ischnochiton mertensii","of Dall 1921",,
"Lepidozona mertensii","Ischnochiton (Lepidozona) mertensii","of Abbott 1954",,
"Lepidozona pectinulata","Lepidopleurus pectinulatus","Carpenter in Pilsbry 1893",,
"Lepidozona pectinulata","Ischnochiton brunneus","Dall 1919",,
"Lepidozona pectinulata","Ischnochiton bryanti","Dall 1919",,
"Lepidozona pectinulata","Lepidozona californiensis","Berry 1931",,
"Lepidozona radians","Ischnochiton radians","Carpenter in Pilsbry 1892",,
"Lepidozona radians","Ischnochiton interstinctus","of Abbott 1974",,
"Lepidozona radians","Lepidozona interstincta","of SCAMIT Ed 5 not (Gould 1852)",,
"Lepidozona retiporosa","Ischnochiton (Trachydermon) retiporosus","Carpenter 1864",,
"Lepidozona retiporosa","Ischnochiton aureotinctus","Carpenter in Pilsbry 1892",,
"Lepidozona retiporosa","Ischnochiton venezius","Dall 1919",,
"Lepidozona retiporosa","Leptochiton punctatus","Whiteaves 1886",,
"Lepidozona scabricostata","Ischnochiton (Lepidopleurus) scabricostatus","Carpenter 1864",,
"Lepidozona scabricostata","Ischnochiton (Ischnochiton) scabricostatus","of Pilsbry 1892",,
"Lepidozona scabricostata","Ischnochiton (Lepidozona) golischi","of authors NEP not Berry 1919",,
"Lepidozona scabricostata","Lepidopleurus scabricostatus","of Carpenter 1864",,
"Lepidozona scabricostata","Lepidozona golischi","of Burghardt & Burghardt 1969 not Berry 1919",,
"Lepidozona scabricostata","Lepidozona inefficax","Berry 1963",,
"Lepidozona scrobiculata","Chiton scrobiculatus","Middendorff 1847",,
"Lepidozona scrobiculata","Ischnochiton sinudentatus","Carpenter in Pilsbry 1892",,
"Lepidozona scrobiculata","Ischnochiton berryi","Dall 1919",,
"Lepidozona scrobiculata","Ischnochiton gallina","Berry 1925",,
"Lepidozona scrobiculata","Ischnochiton listrum","Dall 1919",,
"Lepidozona serrata","Ischnochiton serratus","Carpenter 1864",,
"Lepidozona willetti","Ischnochiton willetti","Berry 1917",,
"Lepidozona willetti","Ischnochiton catalinae","Willett 1931",,
"Stenoplax conspicua","Ischnochiton (Stenoradsia) conspicua","Pilsbry 1892 ex Carpenter MS",,
"Stenoplax conspicua","Ischnochiton conspicuus","of Oldroyd 1927",,
"Stenoplax corrugata","Ischnochiton corrugatus","Carpenter in Pilsbry 1892",,
"Stenoplax corrugata","Ischnochiton biarcuatus","Dall 1903",,
"Acanthochitona avicula","Acanthochites avicula","Carpenter 1864",,
"Acanthochitona avicula","Acanthochites avicula var diegensis","Pilsbry 1893",,
"Cyanoplax dentiens","Chiton (Onythochiton) dentiens","Gould 1846",,
"Cyanoplax dentiens","Lepidochitona dentiens","of authors NEP",,
"Cyanoplax hartwegii","Chiton hartwegii","Carpenter 1855",,
"Cyanoplax hartwegii","Lepidochitona hartwegii","of authors NEP",,
"Lepidochitona beanii","Lepidopleurus (?) beanii","Carpenter 1857",,
"Lepidochitona beanii","Basiliochiton lobium","Berry 1925",,
"Lepidochitona beanii","Chiton bipunctatus","G. B. Sowerby I 1832",,
"Lepidochitona beanii","Chiton flavescens","Carpenter 1857",,
"Lepidochitona beanii","? Chiton virescens","Reeve 1847",,
"Lepidochitona beanii","Tonicella (Mopaliella) stigmata","Dall 1909",,
"Nuttallina californica","Chiton californicus","Reeve 1847",,
"Nuttallina fluxa","Acanthopleura fluxa","Carpenter 1864",,
"Nuttallina fluxa","Chiton scaber","Reeve 1847",,
"Dendrochiton gothicus","Ischnochiton (Trachydermon) gothicus","Carpenter 1864",,
"Dendrochiton thamnoporus","Mopalia (Dendrochiton) thamnopora","Berry 1911",,
"Dendrochiton thamnoporus","Dentrochiton psaltes","Berry 1963",,
"Dendrochiton thamnoporus","Lepidochitona thamnopora","of SCAMIT Ed 4",,
"Mopalia lignosa","Chiton lignosus","Gould 1846",,
"Mopalia lignosa","Chiton eschscholtzii","von Middendorff 1847",,
"Mopalia lignosa","Chiton merckii","von Middendorff 1847",,
"Mopalia lignosa","Chiton montereyensis","Carpenter 1855",,
"Mopalia lignosa","Mopalia insignis","Pilsbry 1893 ex Newcomb MS",,
"Mopalia muscosa","Chiton muscosus","Gould 1846",,
"Mopalia sinuata","Callistochiton aepynotus","Dall 1919",,
"Mopalia sinuata","Mopalia goniura","Dall 1919",,
"Laevipilina hyalina","Vema (Laevipilina) hyalina","McLean 1979",,
"Lottia asmi","Patella asmi","Middendorff 1847",,
"Lottia asmi","Collisella asmi","of Lindberg 1981",,
"Lottia austrodigitalis","Collisella austrodigitalis","Murphy 1978",,
"Lottia conus","Acmaea conus","Test 1945",,
"Lottia conus","Collisella conus","of McLean 1969",,
"Lottia depicta","Patelloida depicta","Hinds 1842",,
"Lottia depicta","Notoacmaea depicta","of Lindberg 1981",,
"Lottia digitalis","Acmaea digitalis","Rathke 1833",,
"Lottia fenestrata","Patella fenestrata","Reeve 1855",,
"Lottia fenestrata","Notoacmea fenestrata","of Lindberg 1981",,
"Lottia insessa","Patella insessa","Hinds 1842",,
"Lottia insessa","Notoacmaea insessa","of Lindberg 1981",,
"Lottia instabilis","Patella (Nacella) instabilis","Gould 1846",,
"Lottia instabilis","Acmaea (Collisella) patina var ochracea","Dall 1871",,
"Lottia instabilis","Collisella ochracea","of Lindberg 1981 in part",,
"Lottia instabilis","Lottia ochracea","of authors NEP",,
"Lottia limatula","Acmaea limatula","Carpenter 1864",,
"Lottia pelta","Acmaea pelta","Rathke 1833",,
"Lottia pelta","Collisella pelta","of Lindberg 1981",,
"Lottia rosacea","Acmaea (? pileolus Midd. var.) rosacea","Carpenter 1864",,
"Lottia rosacea","Tectura rosacea","of SCAMIT Ed 4",,
"Lottia scabra","Patella scabra","Gould 1846",,
"Lottia scabra","Collisella scabra","of Lindberg 1981",,
"Lottia strigatella","Acmaea strigatella","Carpenter 1864",,
"Acmaea funiculata","Niveotectura funiculata","(Carpenter 1864)",,
"Cranopsis multistriata","Puncturella multistriata","Dall 1914",,
"Fissurellidea bimaculata","Megatebennus bimaculatus","of McLean 1969",,
"Lucapinella callomarginata","Clypedella callomarginata","Dall 1871",,
"Puncturella cooperi","Puncturella eyerdami","Dall 1924",,
"Puncturella galeata","Rimula galeata","Gould 1846",,
"Diodora aspera","Fissurella aspera","Rathke 1833",,
"Diodora aspera","Fissuridea aspera","of Williamson 1892",,
"Diodora aspera","Glyphis aspera","of Carpenter 1856",,
"Megathura crenulata","Fissurella crenulata","G. B. Sowerby I 1825",,
"Anatoma kelseyi","Scissurella (Schizotrochus) kelseyi","Dall 1905",,
"Anatoma kelseyi","Anatoma crispata","of McLean 1996 (not Fleming 1828)",,
"Anatoma kelseyi","Scissurella (Anatoma) crispata","of Mclean 1967 not Fleming 1828",,
"Anatoma kelseyi","Scissurella chiricova","Dall 1919",,
"Anatoma kelseyi","Thieleella kelseyi","of SCAMIT Ed 7",,
"Sinezona rimuloides","Scissurella rimuloides","Carpenter 1865",,
"Turcica caffea","Turcica (Ptychostylis) caffea","Gabb 1865",,
"Turcica caffea","Calliostoma (Turcica) caffea","of Pilsbry 1889",,
"Turcica caffea","Thalotia caffea","of Arnold 1903",,
"Bathybembix bairdii","Turcicula bairdii","Dall 1889",,
"Bathybembix bairdii","Lischkeia bairdii","of Abbott 1974",,
"Bathybembix bairdii","Solariella oxybasis","Dall 1890",,
"Cidarina cidaris","Margarita cidaris","Carpenter 1864",,
"Cidarina cidaris","Lischkeia cidaris","of Abbott 1954",,
"Cidarina cidaris","Solariella cidaris","of Williamson 1892",,
"Cidarina cidaris","Solariella oxybasis","Dall 1889",,
"Cidarina cidaris","Turcicula (?) cidaris","of Pilsbry 1889",,
"Halistylus pupoideus","Fenella pupoidea","Carpenter 1864",,
"Halistylus pupoideus","Cantharidus (Halistylus) pupoideus","of Williamson 1892",,
"Halistylus pupoideus","Fenella subpupoidea","Tryon 1887",,
"Halistylus pupoideus","Halistylus subpeideus","of J. Burch 1946",,
"Halistylus pupoideus","Halistylus subpupoideus","of Dall 1921",,
"Lirularia acuticostata","Margarita acuticostata","Carpenter 1864",,
"Lirularia acuticostata","Margarites acuticostatus","of Keen 1937",,
"Lirularia acuticostata","Margarites (Lirularia) acuticostata","of Dall 1921",,
"Lirularia acuticostata","Margarites (Pupillaria) acuticostatus","of Palmer 1958",,
"Lirularia parcipicta","Gibbula parcipicta","Carpenter 1864",,
"Lirularia parcipicta","Margarites (Lirularia) parcipicta","of Dall 1921",,
"Lirularia parcipicta","Margarites parcipictus","of Keen 1937",,
"Lirularia parcipicta","Margarites (Pupillaria) parcipictus","""of Woodring",,
"Lirularia succincta","Gibbula succincta","Carpenter 1864",,
"Calliostoma annulatum","Trochus annulatum","Lightfoot 1786",,
"Calliostoma canaliculatum","Trochus canaliculatus","Lightfoot 1786",,
"Calliostoma canaliculatum","Trochus dolarium","Holten 1802",,
"Calliostoma supragranosum","Calliostoma splendens","Carpenter 1864",,
"Solariella peramabilis","Solariella rhyssa","Dall 1919",,
"Skenea coronadoensis","Delphinoidea coronadoensis","Arnold 1903",,
"Skenea coronadoensis","Cyclostremella californica","Bartsch 1907",,
"Skenea coronadoensis","Cyclostremella coronadoensis","of SCAMIT Ed 3",,
"Skenea coronadoensis","Skenea californica","of Abbott 1974",,
"Megastraea turbanica","Pomaulax turbanicus","Dall 1910",,
"Megastraea turbanica","Astraea (Megastraea) turbanica","of Abbott 1974",,
"Megastraea turbanica","Astraea petrothauma","Berry 1940",,
"Megastraea turbanica","Astraea (Uvanilla) rupicola","Stohler 1959",,
"Megastraea undosa","Trochus undosus","Wood 1828",,
"Megastraea undosa","Lithopoma undosum","of SCAMIT Ed 3",,
"Megastraea undosa","Astraea undosa","of McLean 1969",,
"Pomaulax gibberosus","Trochus gibberosus","Dillwyn 1817",,
"Pomaulax gibberosus","Astraea gibberosa","of McLean 1969",,
"Pomaulax gibberosus","Lithopoma gibberosa","of Turgeon et al 1998",,
"Chlorostoma aureotincta","Trochus aureotinctus","Forbes 1850",,
"Chlorostoma aureotincta","Tegula aureotincta","of SCAMIT Ed 5",,
"Chlorostoma brunnea","Tegula brunnea","Philippi 1848",,
"Chlorostoma eiseni","Tegula eiseni","Jordan 1936",,
"Chlorostoma funebralis","Tegula funebralis","A. Adams 1855",,
"Norrisia norrisi","Trochiscus norrisi","G. B. Sowerby I 1838",,
"Promartynia pulligo","Phorcus pulligo","Gmelin 1791",,
"Eulithidium comptum","Phasianella compta","Gould 1855",,
"Eulithidium comptum","Tricolia compta","of McLean 1969",,
"Eulithidium pulloides","Phasianella compta var pulloides","Carpenter 1865",,
"Eulithidium pulloides","Eulithidium substriatum","of Berry 1907 not (Carpenter 1864)",,
"Eulithidium pulloides","Phasianella (Tricolia) pulloides","of Strong 1928",,
"Eulithidium pulloides","Tricolia pulloides","of McLean 1969",,
"Eulithidium rubrilineatum","Phasianella (Eulithidium) rubrilineata","Strong 1928",,
"Eulithidium rubrilineatum","Phasianella typica","of I. Oldroyd 1927 not Dall 1908",,
"Eulithidium rubrilineatum","Tricolia rubrilineata","of McLean 1969",,
"Eulithidium substriatum","""Eucosmia (? variegata","var) substriata""",,
"Eulithidium substriatum","Phasianella (Eulithidium) substriata","of Dall 1921",,
"Eulithidium substriatum","Tricolia substriata","of McLean 1969",,
"Homalopoma baculum","Leptonyx bacula","Carpenter 1864",,
"Homalopoma grippi","Leptothyra grippi","Dall 1911",,
"Homalopoma luridum","Leptothyra sanguinea lurida","Dall 1885",,
"Homalopoma luridum","Homalopoma carpenteri","(Pilsbry 1888)",,
"Homalopoma luridum","Homalopoma juanensis","(Dall 1919)",,
"Bittiolum fastigiatum","Bittium fastigiatum","Carpenter 1864",,
"Bittiolum fastigiatum","Diastoma fastigiatum","of Bartsch 1911",,
"Lirobittium attenuatum","Bittium attenuatum","Carpenter 1864",,
"Lirobittium calenum","?Alabina calena","Dall 1919",,
"Lirobittium fetellum","Bittium fetellum","Bartsch 1911",,
"Lirobittium larum","Bittium (Lirobittium) larum","Bartsch 1911",,
"Lirobittium paganicum","Stylidium paganicum","Dall 1919",,
"Lirobittium paganicum","Bittium (Stylidium) paganicum","of Oldroyd 1927",,
"Lirobittium quadrifilatum","Bittium quadrifilatum","Carpenter 1864",,
"Lirobittium quadrifilatum","Bittium (Semibittium) quadrifilatum","of Bartsch 1911",,
"Lirobittium quadrifilatum","Bittium (Stylidium) quadrifilatum","of Abbott 1954",,
"Lirobittium rugatum","Bittium rugatum","Carpenter 1864",,
"Lirobittium rugatum","Bittium asperum","of Carpenter 1864 not Gabb 1861",,
"Lirobittium rugatum","Bittium subplanatum","Bartsch 1911",,
"Lirobittium rugatum","Bittium (Semibittium) rugatum","of Bartsch 1911",,
"Lirobittium rugatum","Lirobittium subplanatum","of Houbrick 1993",,
"Cerithidea californica","Cerithium californicum","Haldeman 1840",,
"Finella tenuisculpta","Mesalia tenuisculpta","Carpenter 1864",,
"Finella tenuisculpta","Alabina tenuisculpta phalacra","Bartsch 1911",,
"Melanoides tuberculata","Nerita tuberculata","O. F. Mnller 1774",,
"Turritella cooperi","Turritella jewetti","Carpenter 1864",,
"Turritella cooperi","Turritella orthosymmetrica","Berry 1953",,
"Calyptraea fastigiata","Calyptraea contorta","Carpenter 1864",,
"Calyptraea fastigiata","Galerus contortus","Carpenter 1865",,
"Crepidula aculeata","Patella aculeata","Gmelin 1791",,
"Crepidula aculeata","Calyptraea echinus","Broderip 1834",,
"Crepidula aculeata","Calyptraea hystrix","Broderip 1834",,
"Crepidula aculeata","Crepidula californica","Tryon 1886 ex. Nuttall MS",,
"Crepidula aculeata","Crepidula costata","of Menke 1847 not G. B. Sowerby I 1824",,
"Crepidula aculeata","Crepidula foliacea","Broderip 1834",,
"Crepidula aculeata","Crepidula gravispinosa","Kuroda & Habe 1950",,
"Crepidula aculeata","Crepidula maculata","Quoy & Gaimard 1832-33",,
"Crepidula aculeata","Crepidula tomentosa","Quoy & Gaimard 1832-33",,
"Crepidula convexa","Crepidula acuta","H. C. Lea 1842",,
"Crepidula convexa","Crepidula glauca","Say 1822",,
"Crepidula fornicata","Patella fornicata","Linnaeus 1758",,
"Crepidula glottidiarum","Crepidula nivea var glottidiarum","Dall 1905",,
"Crepidula glottidiarum","Crepidula minuta","Middendorff 1849",,
"Crepidula glottidiarum","Crepidula nivea","of authors NEP not C. B. Adams 1852",,
"Crepidula glottidiarum","Crepidula nummaria","of Hoagland 1977 in part not Gould 1846",,
"Crepidula glottidiarum","Crypta unguiculus","H. & A. Adams 1858",,
"Crepidula onyx","Calyptraea amygdalus","Valenciennes 1846",,
"Crepidula onyx","Crepidula cerithicola","C. B. Adams 1852",,
"Crepidula onyx","Crepidula lirata","Reeve 1859",,
"Crepidula onyx","Crepidula rugosa","of Carpenter 1856 not Anton 1839",,
"Crepidula perforans","Crepidula explanta","Gould 1853",,
"Crepidula perforans","Crepidula exuviatas","of Reeve 1859",,
"Crepidula perforans","Crepidula fimbriata","Reeve 1859",,
"Crepidula perforans","Crepidula naviculloides","of authors NEP not G. B. Sowerby I 1824",,
"Crepipatella lingulata","Crepidula lingulata","Gould 1846",,
"Crepipatella lingulata","Crepidula dorsata","of Hoagland 1977",,
"Crepipatella lingulata","Crepipatella dorsata","of SCAMIT Ed 4",,
"Crepipatella orbiculata","Crepidula orbiculata","Dall 1919",,
"Crepipatella orbiculata","Crepipatella (Verticumbo) charybdis","of Abbott 1974",,
"Crepipatella orbiculata","Verticumbo charybdis","Berry 1940",,
"Crucibulum spinosum","Calyptraea spinosa","G. B. Sowerby I 1824",,
"Crucibulum spinosum","Calyptraea hispida","Broderip 1834",,
"Crucibulum spinosum","Calyptraea tubifera","Lesson 1830",,
"Crucibulum spinosum","Patella peziza","Wood 1828",,
"Garnotia adunca","Crepidula adunca","G. B. Sowerby I 1825",,
"Garnotia adunca","Crepidula aeola","Dall 1927",,
"Garnotia adunca","Crepidula rostriformis","Gould 1846",,
"Garnotia adunca","Crepidula solida","Hinds 1844",,
"Garnotia adunca","Crepidula uncata","Menke 1847",,
"Garnotia naticarum","Crepidula rugosa naticarum","Williamson 1905",,
"Garnotia naticarum","Crepidula coei","Berry 1950",,
"Garnotia norissiarum","Crepidula rugosa norrisiarum","Williamson 1905",,
"Garnotia norissiarum","Crepidula excavata","of authors NEP not Broderip 1834",,
